VIN,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Keyless Ignition,Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Backup Camera,Parking Assist,Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Crash Imminent Braking (CIB),Forward Collision Warning (FCW),Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Blind Spot Warning (BSW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Blind Spot Intervention (BSI),Lane Centering Assistance,Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Adaptive Cruise Control (ACC),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Power (kW),Fuel Type - Primary,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Body Class,Doors,Windows,Wheel Base Type,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Gross Combination Weight Rating From,Bed Type,Cab Type,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Make,Model,Model Year,Series,Trim,Vehicle Type,Plant Country,Base Price ($),Entertainment System,Number of Seats,Number of Seat Rows,Drive Type,Axles,Transmission Style
1FMCU9GD1HUA30879,Standard,Standard,Standard,Optional,Standard,Standard,,,,,,Standard,,Optional,,,,,,,Standard,,,4,1500.0,91.53561614209,1.5,126.7690,Gasoline,In-Line,,Stoichiometric Gasoline Direct Injection (SGDI),170,,,,125,Ford,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,,105.90,,,,4,17,17,FORD,Escape,2017,SE,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),25250,,5,2,4WD/4-Wheel Drive/4x4,2,
3FA6P0LU1KR242602,Standard,Standard,Standard,Standard,Standard,Standard,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,Standard,Standard,Standard,4,2000.0,122.04748818946,2.0,140.1916,Gasoline,In-Line,Electric,,188,Strong HEV (Hybrid Electric Vehicle),4V AtK HEV,,155,Ford,Sedan/Saloon,4,,,,,112.20,,Not Applicable,Not Applicable,4,17,17,FORD,Fusion,2019,SE Hybrid,,PASSENGER CAR,MEXICO,27555,,5,2,,2,
3HGGK5H88KM742051,Standard,Standard,Standard,Standard,,Standard,,,,Standard,Standard,Standard,,,Standard,Standard,,,Standard,,Standard,Standard,Standard,4,1500.0,91.53561614209,1.5,95.4496,Gasoline,In-Line,,Stoichiometric Gasoline Direct Injection (SGDI),128,,,,115,HONDA,Hatchback/Liftback/Notchback,5,,,,,99.60,,Not Applicable,Not Applicable,4,16,16,HONDA,Fit,2019,,EX,PASSENGER CAR,MEXICO,18160,,5,2,4x2,2,Continuously Variable Transmission (CVT)
5YJ3E1EA5JF098290,Standard,Standard,Standard,Standard,,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,Standard,Standard,Optional,,,,,,Electric,,,,,BEV (Battery Electric Vehicle),Single Motor - Standard,,,,Sedan/Saloon,4,,,,,113.20,,Not Applicable,Not Applicable,4,,,TESLA,Model 3,2018,,,PASSENGER CAR,UNITED STATES (USA),46000.00,,5,2,,2,Automatic
1FTEX1E51KKC66386,Standard,Standard,Standard,,Standard,Standard,,,,Standard,Standard,Standard,Standard,,Optional,Optional,,,Standard,,Standard,Standard,,8,5000,305.1187204736,5,294.5515,Gasoline,V-Shaped,,,395,,,,,Ford,Pickup,,,,,,145,,,Extra/Super/ Quad/Double/King/Extended,4,17,17,FORD,F-150,2019,,,TRUCK ,UNITED STATES (USA),,CD + Stereo,6,2,4WD/4-Wheel Drive/4x4,2,Automatic
1C4RJFLG1HC603078,Standard,Standard,Standard,Standard,Optional,Standard,Optional,,,Optional,Optional,Standard,,Optional,Optional,Optional,,,Standard,,Standard,,Optional,6,3600.0,219.68547874103,3.6,219.9815,Gasoline,V-Shaped,,,295,,,No,117,FCA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,,114.8,,,,4,18,18,JEEP,Grand Cherokee,2017,WK,Trailhawk,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),43095,,5,2,4WD/4-Wheel Drive/4x4,2,
3FA6P0LU1KR101755,Standard,Standard,Standard,Standard,Standard,Standard,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,Standard,Standard,Standard,4,2000.0,122.04748818946,2.0,140.1916,Gasoline,In-Line,Electric,,188,Strong HEV (Hybrid Electric Vehicle),4V AtK HEV,,155,Ford,Sedan/Saloon,4,,,,,112.20,,Not Applicable,Not Applicable,4,17,17,FORD,Fusion,2019,SE Hybrid,,PASSENGER CAR,MEXICO,27555,,5,2,,2,
JTMRWRFV7LJ048851,Standard,Standard,Standard,,Standard,Standard,,,,Standard,Standard,Standard,Standard,,Standard,Standard,,,Standard,,Standard,Standard,Standard,4,2500.0,152.55936023683,2.5,131.2432,Gasoline,In-Line,Electric,,176,HEV (Hybrid Electric Vehicle) - Level Unknown,PORT+DIRECT,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,,,,,105.9,,,,4,,,TOYOTA,RAV4,2020,AXAA52L/AXAA54L/AXAH54L,XLE HV,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,,,5,2,4WD/4-Wheel Drive/4x4,2,
1G1RE6E42EU111830,,,,,,,,,,,,,,,,,,,,,,,,4,1400.0,85.43324173262,1.4,,Electric,,Gasoline,Multipoint Fuel Injection (MPFI),,PHEV (Plug-in Hybrid Electric Vehicle),,,,,Hatchback/Liftback/Notchback,4,,,,,,,Not Applicable,Not Applicable,,,,CHEVROLET,Volt,2014,Standard w/Low Emissions Package,,PASSENGER CAR,UNITED STATES (USA),,,,,,,
SADCJ2BN5HA086947,Standard,Standard,Standard,Standard,Standard,Standard,,,,,,Standard,,Optional,,,,,Standard,,Standard,,,4,2000,122.0474881894,2,134.2260,Diesel,In-Line,,,180,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,,,,,113.1,,,,4,19,19,JAGUAR,F-Pace,2017,Premium,,MULTIPURPOSE PASSENGER VEHICLE (MPV),ENGLAND,45200,,5,2,AWD/All-Wheel Drive,2,Automatic
